World Rank,University,Country,Teaching,International,Research,Citations,Income,Staff to Student,Num Students
1,California Institute of Technology,USA,92.2,67,98.1,99.7,89.1,86.1,2243
2,Harvard University,USA,92.9,67.6,98.6,98.9,44,77.6,20152
3,University of Oxford,United Kingdom,88.6,90.7,97.7,95.5,72.9,66.2,19919
4,Stanford University,USA,91.5,69,96.7,99.1,63.1,82.3,15596
5,University of Cambridge,United Kingdom,89.7,87.8,95.6,95.2,51.1,65.4,18812
6,Massachusetts Institute of Technology,USA,89.1,84.3,88.2,100,95.7,77.2,11074
7,Princeton University,USA,86.6,61.2,94.7,99.6,82.7,79.7,7929
8,"University of California, Berkeley",USA,84.2,58.5,96.7,99.1,44.8,46,36186
9,Imperial College London,United Kingdom,84.6,92.7,88.3,89.4,72.7,65.8,15060
9,Yale University,USA,88.5,59.8,90.8,94,42,96.6,11751
11,University of Chicago,USA,83.9,65.2,89.9,97.3,36.8,86.1,14221
12,"University of California, Los Angeles",USA,82.4,49.2,90.5,95.3,60.6,71.7,38206
13,ETH Zurich,Switzerland,78.2,96.6,90.2,83.5,73.2,53.2,18178
14,Columbia University,USA,83.9,68.3,79.4,95.3,60.6,90.3,25055
15,Johns Hopkins University,USA,75.6,59.7,84.2,93.6,100,100,15128
16,University of Pennsylvania,USA,79,43.8,82,94.4,43,87.8,20376
17,University of Michigan,USA,77,49.8,86.5,88.9,55.7,77.2,41786
18,Duke University,USA,73.5,50.5,75.2,96.6,100,94.9,15172
19,Cornell University,USA,71.6,59,83.8,91.5,33.7,72.2,21424
20,University of Toronto,Canada,74.4,71.2,85.1,83,46.1,32.9,66198
21,Northwestern University,USA,72.7,36.7,78.9,96.9,77,57,18334
22,University College London,United Kingdom,70.4,90.6,80.4,85.1,46.2,70,26607
23,University of Tokyo,Japan,81.4,32.4,85.1,74.7,51.2,91.1,26199
24,Carnegie Mellon University,USA,61.6,59.3,74.9,92,53,59.9,11885
25,National University of Singapore,Singapore,72,94.9,78.1,66,53.4,49.8,31592
26,University of Washington,USA,64.5,47.9,68.9,95,44.7,65.4,44020
27,Georgia Institute of Technology,USA,62.5,68.9,71.2,85.8,72.3,30.4,19967
28,University of Texas at Austin,USA,64.3,33.1,72,91.5,58.1,41.8,49427
29,LMU Munich,Germany,65.1,56.4,69.1,83,100,49.8,35691
29,University of Illinois at Urbana-Champaign,USA,67.7,43.9,79,77.8,51.7,36.3,42727
29,University of Wisconsin-Madison,USA,67.7,33.6,71.3,87.7,53.3,69.6,39655
32,University of British Columbia,Canada,60.5,84.8,69,85.3,40.1,40.9,50152
33,University of Melbourne,Australia,60.4,81.3,70.9,80.6,61.2,15.2,40128
34,London School of Economics and Political Science,United Kingdom,65.4,87.4,74.2,71.3,40.6,64.5,26218
34,Ecole Polytechnique Federale de Lausanne,Switzerland,54.7,98.8,56.9,95,61.9,70.9,9666
36,University of Edinburgh,United Kingdom,58.9,84.3,62.9,88.3,41.2,55.7,25774
37,"University of California, Santa Barbara",USA,49.4,64.3,61.4,99.2,87.1,0,22020
38,New York University,USA,68.3,41.2,62.4,89.5,30.2,86.5,42056
39,McGill University,Canada,63.3,79,69.9,76,38.6,57.4,31326
40,King's College London,United Kingdom,55.6,87,62.3,88.3,39,67.1,21394
41,"University of California, San Diego",USA,52,37,66.6,96.4,54.2,87.8,27233
42,Washington University in St Louis,USA,57.6,46.5,55.2,97.1,60.6,91.1,12528
43,University of Hong Kong,Hong Kong,62.1,81.9,72.6,65.1,56,40.9,19835
44,Karolinska Institute,Sweden,57.1,60.6,68,76.8,65.5,66.7,7774
45,Australian National University,Australia,53.7,91.3,70.9,71.1,38.9,34.2,14604
46,University of Minnesota,USA,59.9,33.8,64.7,82.9,60.6,39.2,46825
46,University of North Carolina at Chapel Hill,USA,57.9,35.3,58.6,91,40.5,84.4,26518
48,Peking University,China,70,53.7,61.9,63.7,100,80.2,40148
49,Tsinghua University,China,64.1,44.6,68.3,65,99.7,57.4,39763
50,Seoul National University,South Korea,75.5,30.3,77.1,48.7,86.3,56.5,26389
