World Rank,University,Country,Teaching,International,Research,Citations,Income,Staff to Student,Num Students
1,California Institute of Technology,USA,95.7,56,98.2,99.9,97,86.1,2243
2,Harvard University,USA,95.8,67.5,97.4,99.8,35.9,77.6,20152
2,Stanford University,USA,94.8,57.2,98.9,99.8,63.8,82.3,15596
4,University of Oxford,United Kingdom,89.5,91.9,96.6,97.9,62.1,66.2,19919
5,Princeton University,USA,91.5,49.6,99.1,100,81,79.7,7929
6,University of Cambridge,United Kingdom,90.5,85.3,94.2,97.3,55.5,65.4,18812
7,Massachusetts Institute of Technology,USA,92.7,79.2,87.4,100,94.4,77.2,11074
8,Imperial College London,United Kingdom,88.8,92.2,88.7,93.9,93.1,65.8,15060
9,University of Chicago,USA,89.4,58.8,90.8,99.4,58.6,86.1,14221
10,"University of California, Berkeley",USA,82.8,50.4,99.4,99.4,62.5,46,36186
11,Yale University,USA,92.3,55.5,91.2,96.7,34.7,96.6,11751
12,Columbia University,USA,89.1,67.6,81.8,97.8,58.6,90.3,25055
13,"University of California, Los Angeles",USA,85.9,41,92.5,97.3,58.6,71.7,38206
14,Johns Hopkins University,USA,78.9,59.9,86.5,97.3,100,100,15128
15,ETH Zurich,Switzerland,79.1,97.5,85.8,87.2,58.6,53.2,18178
16,University of Pennsylvania,USA,87,34.3,86.1,97.9,41.9,87.8,20376
17,University College London,United Kingdom,77.8,91.8,84.3,89,41.4,70,26607
18,University of Michigan,USA,75.4,47.2,90,94.3,53.3,77.2,41786
19,University of Toronto,Canada,76.9,69,87.4,86.5,44.9,32.9,66198
20,Cornell University,USA,70.4,53.4,87.2,93.5,58.6,72.2,21424
21,Carnegie Mellon University,USA,65.7,55,79.5,97.4,60.7,59.9,11885
22,Duke University,USA,62.6,46.9,77.9,97.4,100,94.9,15172
22,University of British Columbia,Canada,68.6,88.7,78.6,85.2,40.6,40.9,50152
24,Georgia Institute of Technology,USA,66.6,65,73.8,91.9,99.2,30.4,19967
25,University of Washington,USA,70.8,36.9,74,98.2,31.8,65.4,44020
26,Northwestern University,USA,66.3,35.3,75.5,98.6,56.6,57,18334
27,University of Wisconsin-Madison,USA,74.3,23.8,77.3,90.6,55.3,69.6,39655
28,McGill University,Canada,72.8,81.4,78.4,77.1,35.1,57.4,31326
29,University of Texas at Austin,USA,69.5,38.8,76.1,89.6,57.7,41.8,49427
30,University of Tokyo,Japan,86.1,23,80.3,69.1,76.6,91.1,26199
31,University of Illinois at Urbana-Champaign,USA,67.9,50.7,81.3,81.5,58.6,36.3,42727
32,Karolinska Institute,Sweden,69.9,82,73.8,73.1,78.5,66.7,7774
33,"University of California, San Diego",USA,61.4,31.5,72,97.8,51.8,87.8,27233
34,University of Hong Kong,Hong Kong,74,83.7,80.1,60.5,64.1,40.9,19835
35,"University of California, Santa Barbara",USA,55,52.6,65.3,99.9,85,0,22020
36,University of Edinburgh,United Kingdom,63,79.8,61.4,92.3,41.3,55.7,25774
37,University of Melbourne,Australia,62.2,82.5,72.4,80.7,44.4,15.2,40128
38,Australian National University,Australia,62.8,93.8,75.1,72.6,41.7,34.2,14604
38,"University of California, Davis",USA,68,51.4,68.7,83.4,52.5,56.5,35364
40,National University of Singapore,Singapore,65.7,93,79,63.4,60.7,49.8,31592
41,Washington University in St Louis,USA,64,45.7,58.9,96.1,58.6,91.1,12528
42,University of Minnesota,USA,66.1,25.6,72.5,85.4,58.6,39.2,46825
43,University of North Carolina at Chapel Hill,USA,67.6,20.2,62.6,92.6,35.5,84.4,26518
44,New York University,USA,60.2,38.1,65.4,92.3,30.9,86.5,42056
45,LMU Munich,Germany,63.8,54.3,59.9,84.6,40.7,49.8,35691
46,Ecole Polytechnique Federale de Lausanne,Switzerland,53.1,98.9,43.9,95.3,46.7,70.9,9666
47,London School of Economics and Political Science,United Kingdom,66.4,96,75.4,50.6,41.1,64.5,26043
48,University of Manchester,United Kingdom,59,80.4,61.1,75.6,37.7,50.6,34938
49,Brown University,USA,59.8,33.4,53.6,93.9,34.9,72.6,8653
49,Peking University,China,82.3,51.7,64.1,51,99.9,80.2,40148
