World Rank,University,Country,Teaching,International,Research,Citations,Income,Staff to Student,Num Students
1,Harvard University,USA,99.7,72.4,98.7,98.8,34.5,77.6,20152
2,California Institute of Technology,USA,97.7,54.6,98,99.9,83.7,86.1,2243
3,Massachusetts Institute of Technology,USA,97.8,82.3,91.4,99.9,87.5,77.2,11074
4,Stanford University,USA,98.3,29.5,98.1,99.2,64.3,82.3,15596
5,Princeton University,USA,90.9,70.3,95.4,99.9,59.7,79.7,7929
6,University of Cambridge,United Kingdom,90.5,77.7,94.1,94,57,65.4,18812
6,University of Oxford,United Kingdom,88.2,77.2,93.9,95.1,73.5,66.2,19919
8,"University of California, Berkeley",USA,84.2,39.6,99.3,97.8,59.7,46,36186
9,Imperial College London,United Kingdom,89.2,90,94.5,88.3,92.9,65.8,15060
10,Yale University,USA,92.1,59.2,89.7,91.5,59.7,96.6,11751
11,"University of California, Los Angeles",USA,83,48.1,92.9,93.2,59.7,71.7,38206
12,University of Chicago,USA,79.1,62.8,87.9,96.9,59.7,86.1,14221
13,Johns Hopkins University,USA,80.9,58.5,89.2,92.3,100,100,15128
14,Cornell University,USA,82.2,62.4,88.8,88.1,34.7,72.2,21424
15,ETH Zurich,Switzerland,77.5,93.7,87.8,83.1,59.7,53.2,18178
15,University of Michigan,USA,83.9,53.3,89.1,84.1,59.6,77.2,41786
17,University of Toronto,Canada,75.8,63.6,87.9,82.2,59.7,32.9,66198
18,Columbia University,USA,73.8,90.9,73.8,92.6,59.7,90.3,25055
19,University of Pennsylvania,USA,71.8,32.9,82.7,93.6,43.7,87.8,20376
20,Carnegie Mellon University,USA,70.3,39.1,79.3,95.7,53.7,59.9,11885
21,University of Hong Kong,Hong Kong,68.4,91.4,71.4,96.1,56.5,40.9,19835
22,University College London,United Kingdom,74,90.8,81.6,80.6,39,70,26607
23,University of Washington,USA,68.2,49,77.1,95.9,32.8,65.4,44020
24,Duke University,USA,66.8,49.4,71.5,92.3,100,94.9,15172
25,Northwestern University,USA,64.5,60.5,68.8,95.3,59.7,57,18334
26,University of Tokyo,Japan,87.7,18.4,91.9,58.1,59.7,91.1,26199
27,Georgia Institute of Technology,USA,67.9,73.2,72.6,83.2,95.1,30.4,19967
28,Pohang University of Science and Technology,South Korea,69.5,32.6,62.5,96.5,100,72.6,3055
29,"University of California, Santa Barbara",USA,56.6,64.3,68,98.8,89.8,0,22020
30,University of British Columbia,Canada,65.1,93.3,74.8,80.3,42.6,40.9,50152
30,University of North Carolina at Chapel Hill,USA,70.9,21.5,75.1,85,50.2,84.4,26518
32,"University of California, San Diego",USA,59.8,31.6,76.3,90.8,51.8,87.8,27233
33,University of Illinois at Urbana-Champaign,USA,68.1,55.9,80.9,72.9,59.7,36.3,42727
34,National University of Singapore,Singapore,65.5,97.8,72.6,78.7,40.5,49.8,31592
35,McGill University,Canada,69,85.9,74.9,69,59.7,57.4,31326
36,University of Melbourne,Australia,58.7,88,69.2,83.3,47.7,15.2,40128
37,Peking University,China,76.4,68.6,61.3,72.2,98.6,80.2,40148
38,Washington University in St Louis,USA,58.9,56.4,63,88.6,59.7,91.1,12528
39,Ecole Polytechnique,France,57.9,77.9,56.1,91.4,59.7,94.9,2429
40,University of Edinburgh,United Kingdom,59.9,67.3,61.9,86.8,42.2,55.7,25774
41,Hong Kong University of Science and Technology,Hong Kong,50.4,97.4,51.8,98.2,64.1,14.8,11385
42,Ecole Normale Superieure,France,66.8,44.9,48.2,95.7,30.7,81.9,2400
43,Australian National University,Australia,51.9,93.9,62.4,81,59.7,34.2,14604
43,Karolinska Institute,Sweden,65.8,63.6,72.7,62.3,73.3,66.7,7774
43,University of Gottingen,Germany,57.3,44.5,55.9,92.5,31.7,7.2,25581
43,University of Wisconsin,USA,55.5,43.7,64.6,83.4,59.7,64.7,21951
47,Rice University,USA,57.4,31.2,50.6,99.1,29.2,77.2,6333
48,Ecole Polytechnique Federale de Lausanne,Switzerland,55,100,56.1,83.8,38,70.9,9666
49,"University of California, Irvine",USA,49.4,66.3,54.7,91.6,59.7,47.3,26614
49,University of Science and Technology of China,China,57.5,63.6,48.6,92.7,30.3,81.9,14290
